CountyID,County,stateID,,CountyID,CountyStateID
492,Elkhart,16,,492,Elkhart16
493,Fayette,16,,493,Fayette16
494,Floyd,16,,494,Floyd16
495,Grant,16,,495,Grant16
496,Greene,16,,496,Greene16
497,Hamilton,16,,497,Hamilton16
498,Hancock,16,,498,Hancock16
499,Hendricks,16,,499,Hendricks16
500,Henry,16,,500,Henry16
501,Howard,16,,501,Howard16
502,Huntington,16,,502,Huntington16
503,Jackson,16,,503,Jackson16
504,Jefferson,16,,504,Jefferson16
505,Johnson,16,,505,Johnson16
506,Kosciusko,16,,506,Kosciusko16
507,La Porte,16,,507,La Porte16
508,Lagrange,16,,508,Lagrange16
509,Lake,16,,509,Lake16
510,Lawrence,16,,510,Lawrence16
511,Madison,16,,511,Madison16
512,Marion,16,,512,Marion16
513,Marshall,16,,513,Marshall16
514,Miami,16,,514,Miami16
515,Monroe,16,,515,Monroe16
516,Montgomery,16,,516,Montgomery16
517,Morgan,16,,517,Morgan16
518,Newton,16,,518,Newton16
519,Noble,16,,519,Noble16
520,Perry,16,,520,Perry16
521,Porter,16,,521,Porter16
522,Posey,16,,522,Posey16
523,Randolph,16,,523,Randolph16
524,Ripley,16,,524,Ripley16
525,Rush,16,,525,Rush16
526,Saint Joseph,16,,526,Saint Joseph16
527,Scott,16,,527,Scott16
528,Shelby,16,,528,Shelby16
529,Starke,16,,529,Starke16
530,Steuben,16,,530,Steuben16
531,Tippecanoe,16,,531,Tippecanoe16
532,Tipton,16,,532,Tipton16
533,Union,16,,533,Union16
534,Vanderburgh,16,,534,Vanderburgh16
535,Vermillion,16,,535,Vermillion16
536,Vigo,16,,536,Vigo16
537,Warrick,16,,537,Warrick16
538,Wayne,16,,538,Wayne16
539,Wells,16,,539,Wells16
540,Whitley,16,,540,Whitley16
541,Atchison,17,,541,Atchison17
542,Barton,17,,542,Barton17
543,Brown,17,,543,Brown17
544,Butler,17,,544,Butler17
545,Cherokee,17,,545,Cherokee17
546,Clay,17,,546,Clay17
547,Cloud,17,,547,Cloud17
548,Crawford,17,,548,Crawford17
549,Dickinson,17,,549,Dickinson17
550,Doniphan,17,,550,Doniphan17
551,Douglas,17,,551,Douglas17
552,Ellis,17,,552,Ellis17
553,Finney,17,,553,Finney17
554,Ford,17,,554,Ford17
555,Franklin,17,,555,Franklin17
556,Geary,17,,556,Geary17
557,Hamilton,17,,557,Hamilton17
558,Harper,17,,558,Harper17
559,Harvey,17,,559,Harvey17
560,Jackson,17,,560,Jackson17
561,Jefferson,17,,561,Jefferson17
562,Johnson,17,,562,Johnson17
563,Kingman,17,,563,Kingman17
564,Leavenworth,17,,564,Leavenworth17
565,Linn,17,,565,Linn17
566,Lyon,17,,566,Lyon17
567,Marshall,17,,567,Marshall17
